coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
-54,205,211.993,1,94,61,112.058,1,0,0,0,0,-9,-59,59.6825,1,0,0,0,0,-169,50,176.241,1,176.241,176.241,0,0,59.6825,59.6825,158.142,158.142,3
-52,204,210.523,1,95,60,112.361,1,0,0,0,0,-9,-60,60.6712,1,0,0,0,0,-167,48,173.761,1,173.761,173.761,0,0,60.6712,60.6712,158.795,158.795,3
-53,199,205.937,1,93,57,109.078,1,0,0,0,0,-10,-62,62.8013,1,0,0,0,0,-167,45,172.957,1,172.957,172.957,0,0,62.8013,62.8013,157.385,157.385,3
-56,197,204.805,1,90,54,104.957,1,0,0,0,0,-13,-63,64.3273,1,0,0,0,0,-170,44,175.602,1,175.602,175.602,0,0,64.3273,64.3273,155.878,155.878,3
-57,198,206.041,1,88,54,103.247,1,0,0,0,0,-16,-63,65,1,0,0,0,0,-173,46,179.011,1,179.011,179.011,0,0,65,65,156.541,156.541,3
-57,201,208.926,1,89,55,104.623,1,0,0,0,0,-17,-62,64.2884,1,0,0,0,0,-175,48,181.463,1,181.463,181.463,0,0,64.2884,64.2884,157.877,157.877,3
-61,201,210.052,1,85,54,100.703,1,0,0,0,0,-21,-62,65.4599,1,0,0,0,0,-180,49,186.55,1,186.55,186.55,0,0,65.4599,65.4599,157.137,157.137,3
-66,201,211.559,1,79,53,95.1315,1,0,0,0,0,-27,-62,67.624,1,0,0,0,0,-185,49,191.379,1,191.379,191.379,0,0,67.624,67.624,156.4,156.4,3
-67,200,210.924,1,76,52,92.0869,1,0,0,0,0,-30,-63,69.7782,1,0,0,0,0,-187,48,193.062,1,193.062,193.062,0,0,69.7782,69.7782,156.4,156.4,3
-71,198,210.345,1,72,50,87.6584,1,0,0,0,0,-34,-64,72.4707,1,0,0,0,0,-192,46,197.434,1,197.434,197.434,0,0,72.4707,72.4707,155.666,155.666,3
-74,197,210.44,1,68,48,83.2346,1,0,0,0,0,-37,-64,73.9256,1,0,0,0,0,-194,44,198.927,1,198.927,198.927,0,0,73.9256,73.9256,153.522,153.522,3
-73,198,211.028,1,69,48,84.0536,1,0,0,0,0,-38,-64,74.4312,1,0,0,0,0,-194,43,198.708,1,198.708,198.708,0,0,74.4312,74.4312,154.897,154.897,3
-71,199,211.287,1,72,50,87.6584,1,0,0,0,0,-36,-63,72.5603,1,0,0,0,0,-191,44,196.003,1,196.003,196.003,0,0,72.5603,72.5603,156.311,156.311,3
-66,201,211.559,1,77,52,92.9139,1,0,0,0,0,-30,-61,67.9779,1,0,0,0,0,-186,46,191.604,1,191.604,191.604,0,0,67.9779,67.9779,155.621,155.621,3
-59,203,211.4,1,85,55,101.242,1,0,0,0,0,-24,-60,64.622,1,0,0,0,0,-179,47,185.068,1,185.068,185.068,0,0,64.622,64.622,158.449,158.449,3
-52,204,210.523,1,93,57,109.078,1,0,0,0,0,-16,-58,60.1664,1,0,0,0,0,-170,49,176.921,1,176.921,176.921,0,0,60.1664,60.1664,158.449,158.449,3
-42,206,210.238,1,102,60,118.338,1,0,0,0,0,-6,-55,55.3263,1,0,0,0,0,-160,51,167.932,1,167.932,167.932,0,0,55.3263,55.3263,157.762,157.762,3
-36,209,212.078,1,111,64,128.129,1,0,0,0,0,0,-52,52,1,0,0,0,0,-156,53,164.757,1,164.757,164.757,0,0,52,52,160.552,160.552,3
-35,210,212.897,1,113,66,130.863,1,0,0,0,0,1,-50,50.01,1,0,0,0,0,-154,55,163.527,1,163.527,163.527,0,0,50.01,50.01,161.245,161.245,3
-37,210,213.235,1,113,65,130.361,1,0,0,0,0,-2,-50,50.04,1,0,0,0,0,-157,56,166.688,1,166.688,166.688,0,0,50.04,50.04,162.635,162.635,3
-46,206,211.073,1,104,61,120.569,1,0,0,0,0,-12,-53,54.3415,1,0,0,0,0,-168,54,176.465,1,176.465,176.465,0,0,54.3415,54.3415,162.641,162.641,3
-52,204,210.523,1,99,59,115.248,1,0,0,0,0,-18,-55,57.8705,1,0,0,0,0,-177,54,185.054,1,185.054,185.054,0,0,57.8705,57.8705,163.355,163.355,3
-55,203,210.319,1,96,58,112.161,1,0,0,0,0,-21,-56,59.808,1,0,0,0,0,-182,55,190.129,1,190.129,190.129,0,0,59.808,59.808,163.355,163.355,3
-57,203,210.851,1,94,57,109.932,1,0,0,0,0,-23,-57,61.4654,1,0,0,0,0,-187,57,195.494,1,195.494,195.494,0,0,61.4654,61.4654,163.355,163.355,3
-57,204,211.814,1,94,57,109.932,1,0,0,0,0,-22,-58,62.0322,1,0,0,0,0,-195,63,204.924,1,204.924,204.924,0,0,62.0322,62.0322,163.343,163.343,3
-55,205,212.25,1,95,57,110.788,1,0,0,0,0,-22,-58,62.0322,1,0,0,0,0,-197,67,208.082,1,208.082,208.082,0,0,62.0322,62.0322,164.055,164.055,3
-53,206,212.709,1,97,57,112.508,1,0,0,0,0,-20,-58,61.3514,1,0,0,0,0,-195,69,206.848,1,206.848,206.848,0,0,61.3514,61.3514,164.055,164.055,3
-52,207,213.431,1,100,58,115.603,1,0,0,0,0,-18,-58,60.7289,1,0,0,0,0,-194,68,205.572,1,205.572,205.572,0,0,60.7289,60.7289,165.469,165.469,3
-50,208,213.925,1,102,59,117.835,1,0,0,0,0,-16,-57,59.203,1,0,0,0,0,-191,68,202.744,1,202.744,202.744,0,0,59.203,59.203,165.469,165.469,3
-48,208,213.467,1,104,60,120.067,1,0,0,0,0,-14,-56,57.7235,1,0,0,0,0,-187,68,198.98,1,198.98,198.98,0,0,57.7235,57.7235,165.469,165.469,3
-48,209,214.441,1,104,61,120.569,1,0,0,0,0,-14,-55,56.7539,1,0,0,0,0,-188,70,200.609,1,200.609,200.609,0,0,56.7539,56.7539,165.469,165.469,3
-48,208,213.467,1,104,61,120.569,1,0,0,0,0,-13,-54,55.5428,1,0,0,0,0,-187,69,199.324,1,199.324,199.324,0,0,55.5428,55.5428,164.055,164.055,3
-49,208,213.694,1,103,61,119.708,1,0,0,0,0,-14,-53,54.8179,1,0,0,0,0,-187,70,199.672,1,199.672,199.672,0,0,54.8179,54.8179,163.355,163.355,3
-51,209,215.133,1,101,62,118.512,1,0,0,0,0,-15,-52,54.1202,1,0,0,0,0,-189,71,201.896,1,201.896,201.896,0,0,54.1202,54.1202,162.641,162.641,3
-52,209,215.372,1,99,62,116.812,1,0,0,0,0,-17,-52,54.7083,1,0,0,0,0,-189,71,201.896,1,201.896,201.896,0,0,54.7083,54.7083,162.641,162.641,3
-53,208,214.646,1,98,62,115.966,1,0,0,0,0,-19,-52,55.3624,1,0,0,0,0,-190,71,202.832,1,202.832,202.832,0,0,55.3624,55.3624,163.355,163.355,3
-54,208,214.895,1,96,62,114.28,1,0,0,0,0,-19,-52,55.3624,1,0,0,0,0,-190,71,202.832,1,202.832,202.832,0,0,55.3624,55.3624,161.929,161.929,3
-55,208,215.149,1,95,62,113.442,1,0,0,0,0,-21,-51,55.1543,1,0,0,0,0,-191,72,204.12,1,204.12,204.12,0,0,55.1543,55.1543,161.941,161.941,3
-57,208,215.669,1,92,61,110.386,1,0,0,0,0,-25,-51,56.7979,1,0,0,0,0,-192,71,204.707,1,204.707,204.707,0,0,56.7979,56.7979,161.966,161.966,3
-57,208,215.669,1,90,61,108.724,1,0,0,0,0,-25,-51,56.7979,1,0,0,0,0,-190,70,202.485,1,202.485,202.485,0,0,56.7979,56.7979,160.527,160.527,3
-54,210,216.832,1,90,62,109.289,1,0,0,0,0,-22,-49,53.7122,1,0,0,0,0,-188,72,201.316,1,201.316,201.316,0,0,53.7122,53.7122,157.686,157.686,3
-52,212,218.284,1,90,64,110.436,1,0,0,0,0,-21,-48,52.3927,1,0,0,0,0,-185,73,198.882,1,198.882,198.882,0,0,52.3927,52.3927,157.686,157.686,3
-51,213,219.021,1,92,65,112.645,1,0,0,0,0,-19,-47,50.6952,1,0,0,0,0,-184,74,198.323,1,198.323,198.323,0,0,50.6952,50.6952,157.686,157.686,3
-49,214,219.538,1,94,66,114.856,1,0,0,0,0,-17,-46,49.0408,1,0,0,0,0,-182,74,196.469,1,196.469,196.469,0,0,49.0408,49.0408,157.686,157.686,3
-46,215,219.866,1,98,67,118.714,1,0,0,0,0,-14,-46,48.0833,1,0,0,0,0,-179,74,193.693,1,193.693,193.693,0,0,48.0833,48.0833,159.101,159.101,3
-42,215,219.064,1,103,67,122.874,1,0,0,0,0,-9,-46,46.8722,1,0,0,0,0,-174,73,188.693,1,188.693,188.693,0,0,46.8722,46.8722,159.101,159.101,3
-38,215,218.332,1,108,67,127.094,1,0,0,0,0,-4,-47,47.1699,1,0,0,0,0,-169,70,182.923,1,182.923,182.923,0,0,47.1699,47.1699,159.812,159.812,3
-34,214,216.684,1,113,67,131.37,1,0,0,0,0,1,-47,47.0106,1,0,0,0,0,-164,69,177.924,1,177.924,177.924,0,0,47.0106,47.0106,159.812,159.812,3
-32,214,216.379,1,115,66,132.593,1,0,0,0,0,2,-48,48.0416,1,0,0,0,0,-163,69,177.003,1,177.003,177.003,0,0,48.0416,48.0416,160.515,160.515,3
-34,213,215.697,1,114,66,131.727,1,0,0,0,0,0,-48,48,1,0,0,0,0,-166,68,179.388,1,179.388,179.388,0,0,48,48,161.22,161.22,3
-36,211,214.049,1,112,64,128.996,1,0,0,0,0,-2,-50,50.04,1,0,0,0,0,-167,65,179.204,1,179.204,179.204,0,0,50.04,50.04,161.22,161.22,3
-39,207,210.642,1,108,61,124.036,1,0,0,0,0,-4,-53,53.1507,1,0,0,0,0,-169,61,179.672,1,179.672,179.672,0,0,53.1507,53.1507,159.812,159.812,3
-43,203,207.504,1,103,58,118.207,1,0,0,0,0,-7,-56,56.4358,1,0,0,0,0,-173,58,182.464,1,182.464,182.464,0,0,56.4358,56.4358,158.417,158.417,3
-45,201,205.976,1,100,56,114.612,1,0,0,0,0,-9,-58,58.6941,1,0,0,0,0,-174,57,183.098,1,183.098,183.098,0,0,58.6941,58.6941,157.724,157.724,3
-43,202,206.526,1,103,57,117.72,1,0,0,0,0,-7,-58,58.4209,1,0,0,0,0,-171,57,180.25,1,180.25,180.25,0,0,58.4209,58.4209,159.138,159.138,3
-40,203,206.903,1,107,58,121.709,1,0,0,0,0,-3,-57,57.0789,1,0,0,0,0,-167,57,176.46,1,176.46,176.46,0,0,57.0789,57.0789,159.138,159.138,3
-37,204,207.328,1,110,59,124.824,1,0,0,0,0,-1,-57,57.0088,1,0,0,0,0,-165,58,174.897,1,174.897,174.897,0,0,57.0088,57.0088,160.552,160.552,3
-36,205,208.137,1,111,59,125.706,1,0,0,0,0,0,-57,57,1,0,0,0,0,-165,59,175.231,1,175.231,175.231,0,0,57,57,160.552,160.552,3
-36,206,209.122,1,112,60,127.059,1,0,0,0,0,0,-57,57,1,0,0,0,0,-165,60,175.57,1,175.57,175.57,0,0,57,57,161.966,161.966,3
-35,206,208.952,1,113,60,127.941,1,0,0,0,0,1,-57,57.0088,1,0,0,0,0,-164,59,174.29,1,174.29,174.29,0,0,57.0088,57.0088,161.966,161.966,3
-35,205,207.966,1,114,60,128.825,1,0,0,0,0,1,-57,57.0088,1,0,0,0,0,-164,59,174.29,1,174.29,174.29,0,0,57.0088,57.0088,162.659,162.659,3
-36,205,208.137,1,113,61,128.413,1,0,0,0,0,0,-57,57,1,0,0,0,0,-165,59,175.231,1,175.231,175.231,0,0,57,57,163.38,163.38,3
-37,206,209.296,1,112,61,127.534,1,0,0,0,0,0,-57,57,1,0,0,0,0,-165,60,175.57,1,175.57,175.57,0,0,57,57,162.69,162.69,3
-37,206,209.296,1,111,61,126.657,1,0,0,0,0,-1,-56,56.0089,1,0,0,0,0,-166,60,176.511,1,176.511,176.511,0,0,56.0089,56.0089,161.966,161.966,3
-40,206,209.848,1,108,61,124.036,1,0,0,0,0,-4,-56,56.1427,1,0,0,0,0,-168,60,178.393,1,178.393,178.393,0,0,56.1427,56.1427,161.966,161.966,3
-41,206,210.04,1,106,62,122.801,1,0,0,0,0,-5,-56,56.2228,1,0,0,0,0,-169,60,179.335,1,179.335,179.335,0,0,56.2228,56.2228,162.003,162.003,3
-41,206,210.04,1,104,63,121.594,1,0,0,0,0,-4,-56,56.1427,1,0,0,0,0,-168,61,178.732,1,178.732,178.732,0,0,56.1427,56.1427,160.702,160.702,3
-41,206,210.04,1,101,63,119.038,1,0,0,0,0,-6,-56,56.3205,1,0,0,0,0,-169,61,179.672,1,179.672,179.672,0,0,56.3205,56.3205,160.031,160.031,3
-42,205,209.258,1,99,62,116.812,1,0,0,0,0,-7,-57,57.4282,1,0,0,0,0,-171,60,181.221,1,181.221,181.221,0,0,57.4282,57.4282,159.364,159.364,3
-42,205,209.258,1,101,62,118.512,1,0,0,0,0,-6,-58,58.3095,1,0,0,0,0,-170,60,180.278,1,180.278,180.278,0,0,58.3095,58.3095,160.776,160.776,3
-40,205,208.866,1,104,61,120.569,1,0,0,0,0,-4,-58,58.1378,1,0,0,0,0,-168,59,178.059,1,178.059,178.059,0,0,58.1378,58.1378,160.702,160.702,3
-38,205,208.492,1,108,62,124.531,1,0,0,0,0,-1,-58,58.0086,1,0,0,0,0,-165,57,174.568,1,174.568,174.568,0,0,58.0086,58.0086,162.114,162.114,3
-37,203,206.344,1,109,61,124.908,1,0,0,0,0,0,-59,59,1,0,0,0,0,-163,55,172.029,1,172.029,172.029,0,0,59,59,162.114,162.114,3
-37,202,205.361,1,109,60,124.423,1,0,0,0,0,1,-60,60.0083,1,0,0,0,0,-163,54,171.712,1,171.712,171.712,0,0,60.0083,60.0083,161.443,161.443,3
-38,202,205.543,1,109,61,124.908,1,0,0,0,0,2,-59,59.0339,1,0,0,0,0,-162,53,170.449,1,170.449,170.449,0,0,59.0339,59.0339,160.776,160.776,3
-39,201,204.749,1,109,61,124.908,1,0,0,0,0,2,-59,59.0339,1,0,0,0,0,-162,51,169.838,1,169.838,169.838,0,0,59.0339,59.0339,160.776,160.776,3
-40,199,202.98,1,108,61,124.036,1,0,0,0,0,2,-60,60.0333,1,0,0,0,0,-162,48,168.962,1,168.962,168.962,0,0,60.0333,60.0333,160.863,160.863,3
