coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
17,104,105.38,1,185,-2,185.011,1,-87,-138,163.135,1,50,-142,150.546,1,-19,-164,165.097,1,-131,-75,150.95,1,76.844,76.844,72.8011,72.8011,72.4224,72.4224,194.487,194.487,4
17,103,104.393,1,185,-2,185.011,1,-87,-139,163.982,1,51,-143,151.822,1,-19,-165,166.09,1,-131,-76,151.45,1,76.844,76.844,72.8011,72.8011,73.3757,73.3757,194.517,194.517,4
15,102,103.097,1,183,-3,183.025,1,-89,-140,165.895,1,50,-144,152.434,1,-20,-166,167.2,1,-133,-77,153.681,1,76.844,76.844,73.736,73.736,73.3757,73.3757,193.83,193.83,4
11,100,100.603,1,180,-6,180.1,1,-94,-144,171.965,1,46,-148,154.984,1,-24,-170,171.686,1,-138,-80,159.512,1,77.666,77.666,74.6726,74.6726,73.3757,73.3757,195.243,195.243,4
9,99,99.4082,1,178,-9,178.227,1,-98,-145,175.011,1,42,-150,155.769,1,-29,-172,174.428,1,-142,-81,163.478,1,77.666,77.666,74.0945,74.0945,74.3303,74.3303,195.9,195.9,4
9,99,99.4082,1,179,-10,179.279,1,-98,-147,176.672,1,42,-152,157.696,1,-29,-174,176.4,1,-142,-82,163.976,1,78.492,78.492,74.0945,74.0945,74.3303,74.3303,197.314,197.314,4
9,98,98.4124,1,179,-10,179.279,1,-98,-146,175.841,1,42,-152,157.696,1,-29,-173,175.414,1,-142,-82,163.976,1,77.666,77.666,74.0945,74.0945,74.0405,74.0405,197.314,197.314,4
7,100,100.245,1,177,-10,177.282,1,-102,-144,176.465,1,38,-151,155.708,1,-33,-172,175.137,1,-145,-79,165.124,1,77.9359,77.9359,74.4648,74.4648,74.0405,74.0405,197.995,197.995,4
6,101,101.178,1,177,-8,177.181,1,-103,-143,176.233,1,37,-150,154.496,1,-34,-171,174.347,1,-146,-78,165.529,1,77.9359,77.9359,74.4648,74.4648,74.0405,74.0405,199.409,199.409,4
4,103,103.078,1,176,-7,176.139,1,-107,-142,177.8,1,34,-149,152.83,1,-37,-170,173.98,1,-149,-76,167.263,1,78.2304,78.2304,75.3923,75.3923,74.0405,74.0405,200.818,200.818,4
3,103,103.044,1,174,-7,174.141,1,-108,-141,177.609,1,33,-149,152.611,1,-39,-169,173.442,1,-151,-75,168.6,1,78.7718,78.7718,74.4648,74.4648,74.7262,74.7262,200.112,200.112,4
4,104,104.077,1,174,-8,174.184,1,-108,-140,176.816,1,32,-149,152.398,1,-39,-168,172.467,1,-150,-75,167.705,1,77.3886,77.3886,74.4648,74.4648,73.4983,73.4983,200.112,200.112,4
4,105,105.076,1,175,-6,175.103,1,-112,-138,177.73,1,32,-148,151.42,1,-41,-167,171.959,1,-154,-71,169.579,1,79.0759,79.0759,76.6942,76.6942,75.4321,75.4321,201.527,201.527,4
3,105,105.043,1,174,-7,174.141,1,-114,-136,177.46,1,30,-147,150.03,1,-42,-167,172.2,1,-156,-70,170.985,1,78.2304,78.2304,78.3901,78.3901,74.7262,74.7262,200.838,200.838,4
4,107,107.075,1,173,-6,173.104,1,-113,-135,176.051,1,30,-147,150.03,1,-43,-165,170.511,1,-155,-69,169.664,1,78.2304,78.2304,76.1577,76.1577,75.1864,75.1864,200.823,200.823,4
4,107,107.075,1,173,-6,173.104,1,-113,-134,175.285,1,31,-146,149.255,1,-42,-165,170.262,1,-155,-68,169.26,1,78.2304,78.2304,77.4726,77.4726,75.4321,75.4321,199.409,199.409,4
3,108,108.042,1,173,-5,173.072,1,-114,-134,175.932,1,32,-145,148.489,1,-42,-164,169.293,1,-156,-68,170.176,1,78.2304,78.2304,78,78,76.4003,76.4003,198.698,198.698,4
3,109,109.041,1,173,-4,173.046,1,-113,-134,175.285,1,33,-144,147.733,1,-41,-164,169.047,1,-155,-68,169.26,1,78.2304,78.2304,78,78,76.6551,76.6551,197.99,197.99,4
4,109,109.073,1,175,-3,175.026,1,-116,-134,177.234,1,32,-144,147.513,1,-43,-164,169.544,1,-156,-67,169.779,1,78.032,78.032,78.924,78.924,77.6209,77.6209,200.823,200.823,4
3,109,109.041,1,174,-4,174.046,1,-119,-133,178.466,1,31,-145,148.277,1,-47,-164,170.602,1,-158,-67,171.619,1,76.6616,76.6616,78.3901,78.3901,80.2808,80.2808,200.823,200.823,4
3,109,109.041,1,172,-6,172.105,1,-120,-132,178.393,1,30,-145,148.071,1,-48,-163,169.921,1,-153,-65,166.235,1,74.686,74.686,78.3901,78.3901,80.05,80.05,198.708,198.708,4
