coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
25,194,195.604,1,108,61,124.036,1,-38,-66,76.1577,1,46,-49,67.2086,1,3,-74,74.0608,1,-67,-13,68.2495,1,60.4152,60.4152,41.7732,41.7732,49.7393,49.7393,126.27,126.27,5
25,196,197.588,1,109,63,125.897,1,-37,-65,74.793,1,47,-48,67.1789,1,5,-73,73.171,1,-66,-12,67.082,1,60.4152,60.4152,42.7551,42.7551,48.8774,48.8774,127.142,127.142,5
25,197,198.58,1,109,64,126.4,1,-36,-64,73.4302,1,47,-47,66.468,1,5,-72,72.1734,1,-67,-12,68.0661,1,60.5392,60.5392,41.7732,41.7732,48.8774,48.8774,127.142,127.142,5
25,197,198.58,1,109,64,126.4,1,-37,-64,73.9256,1,47,-47,66.468,1,4,-72,72.111,1,-67,-12,68.0661,1,60.0333,60.0333,41.7732,41.7732,49.7393,49.7393,127.142,127.142,5
25,198,199.572,1,110,65,127.769,1,-36,-64,73.4302,1,48,-47,67.1789,1,6,-72,72.2496,1,-65,-11,65.9242,1,60.4152,60.4152,42.7551,42.7551,48.8774,48.8774,128.016,128.016,5
27,198,199.832,1,111,65,128.631,1,-35,-64,72.9452,1,50,-47,68.6222,1,7,-72,72.3395,1,-65,-12,66.0984,1,60.0333,60.0333,42.7551,42.7551,49.7393,49.7393,127.534,127.534,5
26,198,199.7,1,111,65,128.631,1,-35,-64,72.9452,1,49,-47,67.897,1,7,-72,72.3395,1,-65,-11,65.9242,1,60.9016,60.9016,42.7551,42.7551,48.8774,48.8774,128.016,128.016,5
26,199,200.691,1,110,65,127.769,1,-35,-63,72.0694,1,49,-46,67.2086,1,6,-71,71.2531,1,-65,-11,65.9242,1,60.0333,60.0333,41.7732,41.7732,49.7393,49.7393,126.657,126.657,5
27,204,205.779,1,111,69,130.698,1,-34,-61,69.8355,1,50,-43,65.9469,1,8,-68,68.469,1,-64,-7,64.3817,1,61.7738,61.7738,42.5793,42.5793,48.8774,48.8774,127.534,127.534,5
27,208,209.745,1,112,72,133.147,1,-35,-58,67.7422,1,50,-40,64.0312,1,7,-65,65.3758,1,-66,-5,66.1891,1,61.4003,61.4003,42.5793,42.5793,49.7393,49.7393,128.016,128.016,5
