coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
-26,195,196.726,1,148,22,149.626,1,0,0,0,0,-11,-114,114.529,1,-103,-112,152.161,1,0,0,0,0,0,0,152.161,152.161,92.0217,92.0217,209.23,209.23,8
-25,195,196.596,1,148,23,149.777,1,0,0,0,0,-11,-113,113.534,1,-102,-111,150.748,1,0,0,0,0,0,0,150.748,150.748,91.022,91.022,209.23,209.23,8
-24,196,197.464,1,148,23,149.777,1,0,0,0,0,-11,-111,111.544,1,-100,-111,149.402,1,0,0,0,0,0,0,149.402,149.402,89,89,207.935,207.935,8
-24,196,197.464,1,147,22,148.637,1,0,0,0,0,-13,-109,109.772,1,-99,-113,150.233,1,0,0,0,0,0,0,150.233,150.233,86.093,86.093,206.787,206.787,8
-24,196,197.464,1,143,20,144.392,1,0,0,0,0,-11,-108,108.559,1,-98,-113,149.576,1,0,0,0,0,0,0,149.576,149.576,87.1436,87.1436,200.25,200.25,8
-22,195,196.237,1,140,19,141.283,1,0,0,0,0,-9,-108,108.374,1,-98,-114,150.333,1,0,0,0,0,0,0,150.333,150.333,89.202,89.202,195.78,195.78,8
-22,194,195.243,1,140,17,141.028,1,0,0,0,0,-10,-111,111.45,1,-101,-116,153.808,1,0,0,0,0,0,0,153.808,153.808,91.1373,91.1373,197.19,197.19,8
-21,194,195.133,1,140,16,140.911,1,0,0,0,0,-11,-114,114.529,1,-102,-116,154.467,1,0,0,0,0,0,0,154.467,154.467,91.022,91.022,199.251,199.251,8
-20,194,195.028,1,138,14,138.708,1,0,0,0,0,-11,-114,114.529,1,-100,-116,153.154,1,0,0,0,0,0,0,153.154,153.154,89.0225,89.0225,196.431,196.431,8
-20,190,191.05,1,131,7,131.187,1,0,0,0,0,-10,-117,117.427,1,-98,-115,151.093,1,0,0,0,0,0,0,151.093,151.093,88.0227,88.0227,187.768,187.768,8
