coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
4.0,206.0,206.039,1.0,130.0,34.0,134.373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.0,-41.0,71.0282,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0282,71.0282,71.0282,71.0282,134.373,134.373,0
8.0,205.0,205.156,1.0,133.0,32.0,136.795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.0,-43.0,70.6045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6045,70.6045,70.6045,70.6045,136.795,136.795,0
9.0,203.0,203.199,1.0,134.0,30.0,137.317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,-44.0,70.4344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4344,70.4344,70.4344,70.4344,137.317,137.317,0
9.0,201.0,201.201,1.0,134.0,29.0,137.102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,-43.0,69.814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.814,69.814,69.814,69.814,137.102,137.102,0
11.0,203.0,203.298,1.0,134.0,30.0,137.317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,-42.0,68.4105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4105,68.4105,68.4105,68.4105,137.317,137.317,0
15.0,208.0,208.54,1.0,140.0,32.0,143.611,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-41.0,64.6607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6607,64.6607,64.6607,64.6607,143.611,143.611,0
19.0,215.0,215.838,1.0,147.0,37.0,151.585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-41.0,61.6198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.6198,61.6198,61.6198,61.6198,151.585,151.585,0
17.0,220.0,220.656,1.0,148.0,39.0,153.052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-41.0,64.6607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6607,64.6607,64.6607,64.6607,153.052,153.052,0
13.0,220.0,220.384,1.0,145.0,39.0,150.153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,-40.0,66.4003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4003,66.4003,66.4003,66.4003,150.153,150.153,0
6.0,216.0,216.083,1.0,137.0,38.0,142.172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,-39.0,70.7248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7248,70.7248,70.7248,70.7248,142.172,142.172,0
2.0,211.0,211.009,1.0,129.0,34.0,133.405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-39.0,76.6616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6616,76.6616,76.6616,76.6616,133.405,133.405,0
3.0,209.0,209.022,1.0,128.0,32.0,131.939,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,-40.0,76.3217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3217,76.3217,76.3217,76.3217,131.939,131.939,0
9.0,212.0,212.191,1.0,136.0,32.0,139.714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.0,-43.0,71.4003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4003,71.4003,71.4003,71.4003,139.714,139.714,0
15.0,212.0,212.53,1.0,144.0,31.0,147.299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,-47.0,71.5891,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5891,71.5891,71.5891,71.5891,147.299,147.299,0
17.0,208.0,208.694,1.0,145.0,26.0,147.313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,-50.0,72.8629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8629,72.8629,72.8629,72.8629,147.313,147.313,0
17.0,203.0,203.711,1.0,144.0,23.0,145.825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,-51.0,72.1249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.1249,72.1249,72.1249,72.1249,145.825,145.825,0
20.0,202.0,202.988,1.0,145.0,24.0,146.973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-48.0,67.1789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1789,67.1789,67.1789,67.1789,146.973,146.973,0
23.0,204.0,205.292,1.0,149.0,26.0,151.251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,-47.0,64.3817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.3817,64.3817,64.3817,64.3817,151.251,151.251,0
26.0,204.0,205.65,1.0,152.0,26.0,154.208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.0,-49.0,64.5368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5368,64.5368,64.5368,64.5368,154.208,154.208,0
29.0,203.0,205.061,1.0,156.0,25.0,157.991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-53.0,66.4003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4003,66.4003,66.4003,66.4003,157.991,157.991,0
28.0,203.0,204.922,1.0,156.0,23.0,157.686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.0,-55.0,69.2026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2026,69.2026,69.2026,69.2026,157.686,157.686,0
27.0,205.0,206.77,1.0,156.0,23.0,157.686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,-55.0,70.4344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4344,70.4344,70.4344,70.4344,157.686,157.686,0
28.0,208.0,209.876,1.0,157.0,23.0,158.676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,-55.0,71.0634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0634,71.0634,71.0634,71.0634,158.676,158.676,0
31.0,210.0,212.276,1.0,161.0,23.0,162.635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,-56.0,71.218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.218,71.218,71.218,71.218,162.635,162.635,0
32.0,211.0,213.413,1.0,165.0,22.0,166.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.0,-60.0,73.2393,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2393,73.2393,73.2393,73.2393,166.46,166.46,0
30.0,211.0,213.122,1.0,166.0,21.0,167.323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,-64.0,77.666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.666,77.666,77.666,77.666,167.323,167.323,0
27.0,210.0,211.729,1.0,163.0,18.0,163.991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,-65.0,80.8022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.8022,80.8022,80.8022,80.8022,163.991,163.991,0
23.0,209.0,210.262,1.0,158.0,16.0,158.808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,-64.0,83.7377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7377,83.7377,83.7377,83.7377,158.808,158.808,0
16.0,206.0,206.62,1.0,149.0,16.0,149.857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.0,-62.0,86.977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.977,86.977,86.977,86.977,149.857,149.857,0
12.0,205.0,205.351,1.0,141.0,15.0,141.796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-59.0,88.5268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5268,88.5268,88.5268,88.5268,141.796,141.796,0
11.0,206.0,206.293,1.0,140.0,16.0,140.911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-58.0,87.8635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.8635,87.8635,87.8635,87.8635,140.911,140.911,0
10.0,207.0,207.241,1.0,140.0,17.0,141.028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-58.0,87.8635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.8635,87.8635,87.8635,87.8635,141.028,141.028,0
9.0,208.0,208.195,1.0,139.0,18.0,140.161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-59.0,88.5268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5268,88.5268,88.5268,88.5268,140.161,140.161,0
