coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
-12,155,155.464,1,58,19,61.0328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0328,61.0328,0
-20,154,155.293,1,50,16,52.4976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4976,52.4976,0
-24,157,158.824,1,44,19,47.927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.927,47.927,0
-25,161,162.929,1,42,22,47.4131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.4131,47.4131,0
-29,160,162.607,1,37,22,43.0465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0465,43.0465,0
-33,160,163.368,1,34,21,39.9625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9625,39.9625,0
-32,163,166.111,1,37,22,43.0465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0465,43.0465,0
-32,163,166.111,1,39,23,45.2769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2769,45.2769,0
-36,161,164.976,1,38,21,43.4166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4166,43.4166,0
-38,158,162.505,1,40,16,43.0813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0813,43.0813,0
-36,156,160.1,1,43,13,44.9222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9222,44.9222,0
-33,156,159.452,1,49,13,50.6952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6952,50.6952,0
-30,156,158.858,1,59,13,60.4152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.4152,60.4152,0
-28,158,160.462,1,62,12,63.1506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.1506,63.1506,0
-27,159,161.276,1,64,11,64.9384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9384,64.9384,0
-29,161,163.591,1,68,11,68.884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.884,68.884,0
-29,167,169.499,1,69,13,70.214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.214,70.214,0
-30,172,174.597,1,68,13,69.2315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.2315,69.2315,0
-34,174,177.291,1,64,12,65.1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.1153,65.1153,0
-35,176,179.446,1,62,12,63.1506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.1506,63.1506,0
-38,179,182.989,1,60,12,61.1882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1882,61.1882,0
-46,179,184.816,1,52,11,53.1507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.1507,53.1507,0
-55,175,183.439,1,43,7,43.566,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.566,43.566,0
-60,173,183.109,1,38,4,38.2099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2099,38.2099,0
-65,176,187.619,1,37,4,37.2156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2156,37.2156,0
-71,179,192.567,1,31,5,31.4006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4006,31.4006,0
-68,182,194.288,1,32,7,32.7567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7567,32.7567,0
-65,185,196.087,1,39,8,39.8121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8121,39.8121,0
-64,186,196.703,1,40,8,40.7922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7922,40.7922,0
-62,187,197.01,1,42,8,42.7551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7551,42.7551,0
-55,189,196.84,1,50,10,50.9902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9902,50.9902,0
-53,190,197.254,1,55,11,56.0892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0892,56.0892,0
-54,191,198.487,1,56,10,56.8859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.8859,56.8859,0
-52,191,197.952,1,57,9,57.7062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7062,57.7062,0
-51,191,197.692,1,59,8,59.5399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5399,59.5399,0
-51,191,197.692,1,61,8,61.5224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5224,61.5224,0
-50,191,197.436,1,63,9,63.6396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6396,63.6396,0
-48,190,195.969,1,65,10,65.7647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.7647,65.7647,0
-45,189,194.283,1,72,12,72.9932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.9932,72.9932,0
-40,187,191.23,1,78,13,79.0759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0759,79.0759,0
-35,184,187.299,1,84,14,85.1587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1587,85.1587,0
-27,178,180.036,1,92,14,93.0591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0591,93.0591,0
-19,171,172.052,1,98,11,98.6154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6154,98.6154,0
-11,166,166.364,1,104,10,104.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.48,104.48,0
0,158,158,1,112,9,112.361,1,0,0,0,0,6,-10,11.6619,1,0,0,0,0,0,0,0,0,0,0,0,0,11.6619,11.6619,107.689,107.689,0
1,152,152.003,1,111,5,111.113,1,0,0,0,0,6,-19,19.9249,1,0,0,0,0,0,0,0,0,0,0,0,0,19.9249,19.9249,107.708,107.708,0
3,152,152.03,1,111,4,111.072,1,0,0,0,0,5,-33,33.3766,1,0,0,0,0,0,0,0,0,0,0,0,0,33.3766,33.3766,112.272,112.272,0
5,153,153.082,1,111,5,111.113,1,0,0,0,0,4,-39,39.2046,1,0,0,0,0,0,0,0,0,0,0,0,0,39.2046,39.2046,115.694,115.694,0
3,151,151.03,1,109,3,109.041,1,0,0,0,0,0,-46,46,1,0,0,0,0,0,0,0,0,0,0,0,0,46,46,119.507,119.507,0
1,151,151.003,1,107,3,107.042,1,0,0,0,0,-5,-48,48.2597,1,0,0,0,0,0,0,0,0,0,0,0,0,48.2597,48.2597,123.065,123.065,0
2,159,159.013,1,106,8,106.301,1,-37,-8,37.855,1,-7,-41,41.5933,1,0,0,0,0,0,0,0,0,37.855,37.855,37.855,37.855,41.5933,41.5933,123.167,123.167,0
-1,161,161.003,1,105,9,105.385,1,0,0,0,0,-7,-40,40.6079,1,-45,-18,48.4665,1,0,0,0,0,0,0,48.4665,48.4665,43.909,43.909,122.25,122.25,0
-1,164,164.003,1,102,11,102.591,1,0,0,0,0,-6,-33,33.541,1,-46,-18,49.3964,1,0,0,0,0,0,0,49.3964,49.3964,42.72,42.72,116.619,116.619,0
1,167,167.003,1,103,15,104.087,1,0,0,0,0,-3,-25,25.1794,1,-46,-19,49.7695,1,0,0,0,0,0,0,49.7695,49.7695,43.4166,43.4166,113.296,113.296,0
2,170,170.012,1,103,17,104.393,1,0,0,0,0,-1,-18,18.0278,1,-46,-19,49.7695,1,0,0,0,0,0,0,49.7695,49.7695,45.0111,45.0111,109.731,109.731,0
2,174,174.011,1,102,20,103.942,1,-61,48,77.6209,1,0,-4,4,1,-46,-16,48.7032,1,0,0,0,0,77.6209,77.6209,65.7343,65.7343,47.5395,47.5395,104.785,104.785,0
12,183,183.393,1,116,33,120.603,1,-69,5,69.1809,1,20,18,26.9072,1,-29,-11,31.0161,1,-99,49,110.463,1,53.2541,53.2541,43.0813,43.0813,56.9386,56.9386,97.1648,97.1648,0
