coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
-22,146,147.648,1,125,49,134.261,1,-92,-69,115,1,27,-63,68.542,1,-31,-85,90.4765,1,-135,-21,136.624,1,64.4438,64.4438,63.0635,63.0635,62.0322,62.0322,148.822,148.822,2
-28,146,148.661,1,113,48,122.772,1,-94,-70,117.201,1,20,-63,66.0984,1,-36,-85,92.3093,1,-136,-21,137.612,1,64.5368,64.5368,59.9083,59.9083,60.1664,60.1664,144.81,144.81,2
-19,147,148.223,1,122,50,131.848,1,-85,-69,109.481,1,29,-63,69.3542,1,-28,-84,88.5438,1,-127,-20,128.565,1,64.5368,64.5368,58.9406,58.9406,60.7454,60.7454,146.349,146.349,2
-22,149,150.615,1,123,51,133.154,1,-89,-66,110.802,1,27,-61,66.7083,1,-30,-81,86.3771,1,-131,-17,132.098,1,64.5368,64.5368,60.8769,60.8769,60.407,60.407,147.513,147.513,2
-22,149,150.615,1,121,52,131.7,1,-88,-67,110.603,1,26,-60,65.3911,1,-30,-82,87.3155,1,-130,-18,131.24,1,64.5368,64.5368,59.9083,59.9083,60.1664,60.1664,146.864,146.864,2
-18,149,150.083,1,124,52,134.462,1,-84,-66,106.827,1,30,-61,67.9779,1,-26,-82,86.0233,1,-126,-18,127.279,1,63.7809,63.7809,60.1664,60.1664,59.808,59.808,146.986,146.986,2
-17,150,150.96,1,127,53,137.615,1,-84,-66,106.827,1,31,-60,67.5352,1,-25,-81,84.7703,1,-126,-17,127.142,1,64.5368,64.5368,60.8769,60.8769,59.808,59.808,148.273,148.273,2
-20,149,150.336,1,124,52,134.462,1,-87,-66,109.202,1,28,-61,67.1193,1,-29,-81,86.0349,1,-129,-17,130.115,1,64.5368,64.5368,59.9083,59.9083,60.407,60.407,148.273,148.273,2
-20,153,154.302,1,121,54,132.503,1,-85,-60,104.043,1,27,-56,62.1691,1,-28,-76,80.9938,1,-127,-12,127.566,1,63.7809,63.7809,59.203,59.203,58.5235,58.5235,144.693,144.693,2
-15,155,155.724,1,126,58,138.708,1,-82,-58,100.439,1,32,-53,61.9112,1,-24,-74,77.7946,1,-123,-11,123.491,1,62.3699,62.3699,60.1664,60.1664,59.808,59.808,145.454,145.454,2
