coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
-32,104,108.812,1,0,0,0,0,0,0,0,0,32,-93,98.3514,1,-15,-106,107.056,1,0,0,0,0,0,0,107.056,107.056,48.7647,48.7647,98.3514,98.3514,4
-34,101,106.569,1,0,0,0,0,0,0,0,0,29,-97,101.242,1,-18,-110,111.463,1,0,0,0,0,0,0,111.463,111.463,48.7647,48.7647,101.242,101.242,4
-35,100,105.948,1,0,0,0,0,0,0,0,0,27,-99,102.616,1,-20,-112,113.772,1,0,0,0,0,0,0,113.772,113.772,48.7647,48.7647,102.616,102.616,4
-33,100,105.304,1,0,0,0,0,0,0,0,0,29,-100,104.12,1,-18,-112,113.437,1,0,0,0,0,0,0,113.437,113.437,48.5077,48.5077,104.12,104.12,4
-28,101,104.809,1,0,0,0,0,0,0,0,0,33,-98,103.407,1,-14,-111,111.879,1,0,0,0,0,0,0,111.879,111.879,48.7647,48.7647,103.407,103.407,4
-31,101,105.65,1,0,0,0,0,0,0,0,0,32,-97,102.142,1,-16,-110,111.158,1,0,0,0,0,0,0,111.158,111.158,49.7293,49.7293,102.142,102.142,4
-32,104,108.812,1,0,0,0,0,0,0,0,0,30,-95,99.6243,1,-17,-107,108.342,1,0,0,0,0,0,0,108.342,108.342,48.5077,48.5077,99.6243,99.6243,4
-27,111,114.237,1,0,0,0,0,0,0,0,0,34,-88,94.3398,1,-12,-100,100.717,1,0,0,0,0,0,0,100.717,100.717,47.5395,47.5395,94.3398,94.3398,4
-22,114,116.103,1,0,0,0,0,0,0,0,0,39,-84,92.6121,1,-7,-97,97.2522,1,0,0,0,0,0,0,97.2522,97.2522,47.8017,47.8017,92.6121,92.6121,4
-23,113,115.317,1,0,0,0,0,0,0,0,0,38,-85,93.1075,1,-9,-98,98.4124,1,0,0,0,0,0,0,98.4124,98.4124,48.7647,48.7647,93.1075,93.1075,4
-25,111,113.78,1,0,0,0,0,0,0,0,0,37,-87,94.541,1,-10,-100,100.499,1,0,0,0,0,0,0,100.499,100.499,48.7647,48.7647,94.541,94.541,4
-25,109,111.83,1,0,0,0,0,0,0,0,0,36,-90,96.933,1,-11,-102,102.591,1,0,0,0,0,0,0,102.591,102.591,48.5077,48.5077,96.933,96.933,4
-24,110,112.588,1,0,0,0,0,0,0,0,0,37,-89,96.3846,1,-10,-102,102.489,1,0,0,0,0,0,0,102.489,102.489,48.7647,48.7647,96.3846,96.3846,4
