coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
4,206,206.039,1,130,34,134.373,1,0,0,0,0,0,0,0,0,-58,-41,71.0282,1,0,0,0,0,0,0,71.0282,71.0282,71.0282,71.0282,134.373,134.373,0
8,205,205.156,1,133,32,136.795,1,0,0,0,0,0,0,0,0,-56,-43,70.6045,1,0,0,0,0,0,0,70.6045,70.6045,70.6045,70.6045,136.795,136.795,0
9,203,203.199,1,134,30,137.317,1,0,0,0,0,0,0,0,0,-55,-44,70.4344,1,0,0,0,0,0,0,70.4344,70.4344,70.4344,70.4344,137.317,137.317,0
9,201,201.201,1,134,29,137.102,1,0,0,0,0,0,0,0,0,-55,-43,69.814,1,0,0,0,0,0,0,69.814,69.814,69.814,69.814,137.102,137.102,0
11,203,203.298,1,134,30,137.317,1,0,0,0,0,0,0,0,0,-54,-42,68.4105,1,0,0,0,0,0,0,68.4105,68.4105,68.4105,68.4105,137.317,137.317,0
15,208,208.54,1,140,32,143.611,1,0,0,0,0,0,0,0,0,-50,-41,64.6607,1,0,0,0,0,0,0,64.6607,64.6607,64.6607,64.6607,143.611,143.611,0
19,215,215.838,1,147,37,151.585,1,0,0,0,0,0,0,0,0,-46,-41,61.6198,1,0,0,0,0,0,0,61.6198,61.6198,61.6198,61.6198,151.585,151.585,0
17,220,220.656,1,148,39,153.052,1,0,0,0,0,0,0,0,0,-50,-41,64.6607,1,0,0,0,0,0,0,64.6607,64.6607,64.6607,64.6607,153.052,153.052,0
13,220,220.384,1,145,39,150.153,1,0,0,0,0,0,0,0,0,-53,-40,66.4003,1,0,0,0,0,0,0,66.4003,66.4003,66.4003,66.4003,150.153,150.153,0
6,216,216.083,1,137,38,142.172,1,0,0,0,0,0,0,0,0,-59,-39,70.7248,1,0,0,0,0,0,0,70.7248,70.7248,70.7248,70.7248,142.172,142.172,0
2,211,211.009,1,129,34,133.405,1,0,0,0,0,0,0,0,0,-66,-39,76.6616,1,0,0,0,0,0,0,76.6616,76.6616,76.6616,76.6616,133.405,133.405,0
3,209,209.022,1,128,32,131.939,1,0,0,0,0,0,0,0,0,-65,-40,76.3217,1,0,0,0,0,0,0,76.3217,76.3217,76.3217,76.3217,131.939,131.939,0
