coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
-55,315,319.766,1,0,0,0,0,0,0,0,0,-28,-1,28.0179,1,-93,-2,93.0215,1,0,0,0,0,0,0,93.0215,93.0215,65.0077,65.0077,28.0179,28.0179,7
-59,318,323.427,1,0,0,0,0,0,0,0,0,-34,-2,34.0588,1,-99,-2,99.0202,1,0,0,0,0,0,0,99.0202,99.0202,65,65,34.0588,34.0588,7
-56,319,323.878,1,0,0,0,0,0,0,0,0,-30,-2,30.0666,1,-94,-3,94.0479,1,0,0,0,0,0,0,94.0479,94.0479,64.0078,64.0078,30.0666,30.0666,7
-51,316,320.089,1,0,0,0,0,0,0,0,0,-21,-3,21.2132,1,-83,-5,83.1505,1,0,0,0,0,0,0,83.1505,83.1505,62.0322,62.0322,21.2132,21.2132,7
-45,310,313.249,1,0,0,0,0,0,0,0,0,-12,-4,12.6491,1,-73,-7,73.3348,1,0,0,0,0,0,0,73.3348,73.3348,61.0737,61.0737,12.6491,12.6491,7
-43,306,309.006,1,0,0,0,0,0,0,0,0,-8,-4,8.94427,1,-70,-8,70.4557,1,0,0,0,0,0,0,70.4557,70.4557,62.1289,62.1289,8.94427,8.94427,7
-45,306,309.291,1,0,0,0,0,0,0,0,0,-11,-3,11.4018,1,-74,-6,74.2428,1,0,0,0,0,0,0,74.2428,74.2428,63.0714,63.0714,11.4018,11.4018,7
-51,310,314.167,1,0,0,0,0,0,0,0,0,-18,-2,18.1108,1,-82,-3,82.0549,1,0,0,0,0,0,0,82.0549,82.0549,64.0078,64.0078,18.1108,18.1108,7
-56,312,316.986,1,0,0,0,0,0,0,0,0,-23,-2,23.0868,1,-88,-1,88.0057,1,0,0,0,0,0,0,88.0057,88.0057,65.0077,65.0077,23.0868,23.0868,7
-57,314,319.132,1,0,0,0,0,0,0,0,0,-23,-2,23.0868,1,-89,-1,89.0056,1,0,0,0,0,0,0,89.0056,89.0056,66.0076,66.0076,23.0868,23.0868,7
-55,316,320.751,1,0,0,0,0,0,0,0,0,-19,-1,19.0263,1,-85,-1,85.0059,1,0,0,0,0,0,0,85.0059,85.0059,66,66,19.0263,19.0263,7
-50,313,316.968,1,0,0,0,0,0,0,0,0,-15,-2,15.1327,1,-77,-4,77.1038,1,0,0,0,0,0,0,77.1038,77.1038,62.0322,62.0322,15.1327,15.1327,7
-44,308,311.127,1,0,0,0,0,0,0,0,0,-9,-3,9.48683,1,-69,-6,69.2604,1,0,0,0,0,0,0,69.2604,69.2604,60.075,60.075,9.48683,9.48683,7
-43,305,308.016,1,0,0,0,0,0,0,0,0,-8,-3,8.544,1,-68,-6,68.2642,1,0,0,0,0,0,0,68.2642,68.2642,60.075,60.075,8.544,8.544,7
-48,305,308.754,1,0,0,0,0,0,0,0,0,-15,-3,15.2971,1,-75,-5,75.1665,1,0,0,0,0,0,0,75.1665,75.1665,60.0333,60.0333,15.2971,15.2971,7
