coord_0000_X,coord_0000_Y,origin_dist_0000,is_visible_0000,coord_1111_X,coord_1111_Y,origin_dist_1111,is_visible_1111,coord_1100_X,coord_1100_Y,origin_dist_1100,is_visible_1100,coord_0011_X,coord_0011_Y,origin_dist_0011,is_visible_0011,coord_1010_X,coord_1010_Y,origin_dist_1010,is_visible_1010,coord_0101_X,coord_0101_Y,origin_dist_0101,is_visible_0101,d_0101_1100,d_1100_0101,d_1100_1010,d_1010_1100,d_1010_0011,d_0011_1010,d_0011_1111,d_1111_0011,reading_id
-4,157,157.051,1,125,20,126.59,1,-89,-45,99.7296,1,-1,-73,73.0068,1,0,0,0,0,-105,-10,105.475,1,38.4838,38.4838,99.7296,99.7296,73.0068,73.0068,156.605,156.605,1
-6,155,155.116,1,122,18,123.321,1,-93,-44,102.883,1,-4,-73,73.1095,1,0,0,0,0,-108,-10,108.462,1,37.1618,37.1618,102.883,102.883,73.1095,73.1095,155.425,155.425,1
-10,154,154.324,1,117,16,118.089,1,-97,-43,106.104,1,-9,-72,72.5603,1,0,0,0,0,-111,-7,111.221,1,38.6264,38.6264,106.104,106.104,72.5603,72.5603,153.688,153.688,1
-12,156,156.461,1,114,17,115.261,1,-99,-41,107.154,1,-11,-70,70.859,1,0,0,0,0,-112,-5,112.112,1,38.2753,38.2753,107.154,107.154,70.859,70.859,152.296,152.296,1
-9,159,159.255,1,115,19,116.559,1,-96,-39,103.619,1,-8,-68,68.469,1,0,0,0,0,-109,-3,109.041,1,38.2753,38.2753,103.619,103.619,68.469,68.469,150.659,150.659,1
1,170,170.003,1,129,30,132.442,1,-85,-33,91.1811,1,3,-62,62.0725,1,0,0,0,0,-101,3,101.045,1,39.3954,39.3954,91.1811,91.1811,62.0725,62.0725,156.013,156.013,1
2,172,172.012,1,131,32,134.852,1,-86,-31,91.4166,1,3,-60,60.075,1,0,0,0,0,-101,6,101.178,1,39.9249,39.9249,91.4166,91.4166,60.075,60.075,157.632,157.632,1
-6,167,167.108,1,118,28,121.277,1,-95,-29,99.3277,1,-8,-57,57.5587,1,0,0,0,0,-107,8,107.299,1,38.8973,38.8973,99.3277,99.3277,57.5587,57.5587,151.99,151.99,1
-8,166,166.193,1,117,26,119.854,1,-98,-34,103.73,1,-9,-62,62.6498,1,0,0,0,0,-110,3,110.041,1,38.8973,38.8973,103.73,103.73,62.6498,62.6498,153.688,153.688,1
-12,161,161.447,1,116,18,117.388,1,-106,-42,114.018,1,-14,-73,74.3303,1,0,0,0,0,-118,-6,118.152,1,37.9473,37.9473,114.018,114.018,74.3303,74.3303,158.685,158.685,1
